event_id,order_id,event_state,sales_order_state,sales_type,trial,promo_code,referred_by,sector,company_name,customer_id,type,sub_type,cost_per_pax,lines,ways,pax,address,postal_code,need_to_use_stairs,special_instructions,need_pre_setup,pre_setup_date_time,created_at,updated_at,pickup_date_time,setup_date_time,serving_date_time,takedown_date_time,ready_to_eat_at,consume_by,sub_total_value,additional_charges_value,delivery_fee,surcharge_value,discount_value,revenue,event_url,sales_order_url,invoice_url
I4871,SO082956422,PUBLISHED,CONFIRMED,inbound,FALSE,,,Education,Nanyang Technological University,20528,MiniBuffet,,0,1,1,10,"50 Nanyang Avenue, School of Mechanical & Aerospace Engineering, MAE Meeting Room B (N3-02b-65)",639798,,10x bento + cutlery | 10x bottled drinks,FALSE,,2023-08-29 10:08:23,2023-09-14 4:03:10,2023-09-15 10:30:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 10:30:00,2023-09-15 14:30:00,0,212.48,30,0,10.62,231.86,https://papercut.grain.com.sg/events/94871,https://papercut.grain.com.sg/sales_orders/56422,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=ae2e30e6-b507-493d-badf-a9a2f6171c6b
I4874,SO082956425,PUBLISHED,CONFIRMED,inbound,FALSE,,,Finance,OCBC Bank,72506,MiniBuffet,,0,1,1,120,"50th floor OCBC Centre, 65 Chulia Street",49513,,120 x bento + cutlery,FALSE,,2023-08-29 10:42:32,2023-09-14 4:01:30,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,0,1460,30,0,103,1387,https://papercut.grain.com.sg/events/94874,https://papercut.grain.com.sg/sales_orders/56425,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=5dd80125-2a89-46f9-bf9b-525bd25c4515
I5032,SO083056493,PUBLISHED,CONFIRMED,repeat,FALSE,,,Finance,J.P. Morgan,53505,MiniBuffet,,10,1,1,75,"JP Morgan One@Changi City, Changi Business Park Central 1, L2 learning room",486036,,75 x bento + cutlery,FALSE,,2023-08-30 19:14:09,2023-09-14 4:04:08,2023-09-15 12:30:00,2023-09-15 13:45:00,2023-09-15 13:45:00,2023-09-15 13:45:00,2023-09-15 12:30:00,2023-09-15 16:30:00,750,0,30,0,0,780,https://papercut.grain.com.sg/events/95032,https://papercut.grain.com.sg/sales_orders/56493,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=14bd35f1-c435-406e-8de8-b73b8b505e66
I5070,SO083156536,PUBLISHED,CONFIRMED,repeat,FALSE,,,Pharmaceutical,Edwards Lifesciences (Singapore) Pte Ltd,54350,MiniBuffet,,12,1,1,15,35 Changi North Crescent,499641,,30 x bentos + cutlery | 15 drinks,FALSE,,2023-08-31 11:24:19,2023-09-14 4:01:39,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,180,173.7,30,0,0,383.7,https://papercut.grain.com.sg/events/95070,https://papercut.grain.com.sg/sales_orders/56536,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=f84066fc-ea46-44dd-82b5-a3a77866a3ca
I5077,SO083156541,PUBLISHED,CONFIRMED,inbound,FALSE,,,,,72609,MiniBuffet,,18.5,1,1,25,"201 Jalan Kampong Chantek, #01-201",587908,,"-----
 Disposables required: YES",FALSE,,2023-08-31 12:15:59,2023-09-14 4:06:01,2023-09-15 16:45:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 16:45:00,2023-09-15 20:45:00,462.5,238.88,40,0,0,741.38,https://papercut.grain.com.sg/events/95077,https://papercut.grain.com.sg/sales_orders/56541,
I5184,SO090456611,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Marketing Institute of Singapore,72665,MiniBuffet,,0,1,1,19,"229 Mountbatten Road, Mountbatten Square, #03-02",398007,FALSE,"19 x bento + cutlery
 -----
 Disposables required: YES",FALSE,,2023-09-04 14:00:02,2023-09-14 4:02:42,2023-09-15 10:15:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 10:15:00,2023-09-15 14:15:00,0,249.41,30,0,0,279.41,https://papercut.grain.com.sg/events/95184,https://papercut.grain.com.sg/sales_orders/56611,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=2029e420-f433-465c-b973-d6e9eea9f3d1
I5216,SO090456636,PUBLISHED,CONFIRMED,inbound,FALSE,,,Hospitals,National University Health System Pte Ltd,60828,MiniBuffet,,12,1,1,17,"1E Kent Ridge Road, Level 13, NUHS TB – Seminar Room T01-01",119228,,17x bentos + cutlery,FALSE,,2023-09-04 18:05:23,2023-09-14 4:03:22,2023-09-15 10:30:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 10:30:00,2023-09-15 14:30:00,204,0,30,0,0,234,https://papercut.grain.com.sg/events/95216,https://papercut.grain.com.sg/sales_orders/56636,
I5317,SO090556692,PUBLISHED,CONFIRMED,repeat,FALSE,,,Hospitals,MOH Office for Healthcare Transformation Pte Ltd,55140,MiniBuffet,,12,1,1,25,"26 Jurong West Street 61, Pioneer Polyclinic",648201,,"25 x bento + cutlery
 *Please call Sandra (81128571) upon arrival.",FALSE,,2023-09-05 19:39:19,2023-09-14 4:03:48,2023-09-15 11:15:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 11:15:00,2023-09-15 15:15:00,300,0,30,0,0,330,https://papercut.grain.com.sg/events/95317,https://papercut.grain.com.sg/sales_orders/56692,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e0c12eed-7298-4a91-82f6-aeafee7a746d
I5372,SO090656722,PUBLISHED,CONFIRMED,inbound,FALSE,,,,CaterSpot,37766,MiniBuffet,,0,1,1,110,"#05-01, 5 Burn Road Singapore",369972,,"110 x bento + cutlery
 

 Caterspot self-collect Order # Y3GJ-MAZG",FALSE,,2023-09-06 13:29:32,2023-09-14 4:02:23,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 14:00:00,0,1415.6,0,0,0,1415.6,https://papercut.grain.com.sg/events/95372,https://papercut.grain.com.sg/sales_orders/56722,
I5416,SO090656743,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,30,"Guoco Tower Level 22, 1 Wallich St (enter via loading bay)",78881,,"30 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-06 16:25:44,2023-09-14 4:01:52,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,420,0,15,0,15,420,https://papercut.grain.com.sg/events/95416,https://papercut.grain.com.sg/sales_orders/56743,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=f5efa9ac-1929-4d6c-ad5f-bfba65e086d1
