ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Chinese New Year,Chinese New Year_lower,Chinese New Year_upper,Chinese New Year (Observed),Chinese New Year (Observed)_lower,Chinese New Year (Observed)_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Deepavali,Deepavali_lower,Deepavali_upper,Deepavali (Observed),Deepavali (Observed)_lower,Deepavali (Observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,Hari Raya Haji,Hari Raya Haji_lower,Hari Raya Haji_upper,Hari Raya Haji (Observed),Hari Raya Haji (Observed)_lower,Hari Raya Haji (Observed)_upper,Hari Raya Puasa,Hari Raya Puasa_lower,Hari Raya Puasa_upper,Labour Day,Labour Day_lower,Labour Day_upper,Labour Day (Observed),Labour Day (Observed)_lower,Labour Day (Observed)_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Polling Day,Polling Day_lower,Polling Day_upper,Vesak Day,Vesak Day_lower,Vesak Day_upper,Vesak Day (Observed),Vesak Day (Observed)_lower,Vesak Day (Observed)_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-09,8.758882152,1657.1564735820307,4259.3292892355885,8.758882152,8.758882152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942.4459896723356,2942.4459896723356,2942.4459896723356,3460.5305439999956,3460.5305439999956,3460.5305439999956,0.0,0.0,0.0,-1641.0452676375885,-1641.0452676375885,-1641.0452676375885,1942.4838528055002,1942.4838528055002,1942.4838528055002,-819.5231394955717,-819.5231394955717,-819.5231394955717,0.0,0.0,0.0,2951.2048718243354
2022-01-16,12.216869448428572,1868.7090061655797,4442.285935858645,12.216869448428572,12.216869448428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3148.4050886228392,3148.4050886228392,3148.4050886228392,3460.530543999998,3460.530543999998,3460.530543999998,0.0,0.0,0.0,-1193.2906691892529,-1193.2906691892529,-1193.2906691892529,1942.4838528055002,1942.4838528055002,1942.4838528055002,-1061.318638993405,-1061.318638993405,-1061.318638993405,0.0,0.0,0.0,3160.6219580712677
2022-01-23,15.674856744857145,2697.025439600585,5341.884609135211,15.674856744857145,15.674856744857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3963.3576674745314,3963.3576674745314,3963.3576674745314,3460.5305440000016,3460.5305440000016,3460.5305440000016,0.0,0.0,0.0,-165.73473178194865,-165.73473178194865,-165.73473178194865,1942.4838528055002,1942.4838528055002,1942.4838528055002,-1273.9219975490205,-1273.9219975490205,-1273.9219975490205,0.0,0.0,0.0,3979.0325242193885
2022-01-30,19.132844031652503,1808.3513008874536,4403.931416132,19.132844031652503,19.132844031652503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.417939459394,3052.417939459394,3052.417939459394,3460.5305440000016,3460.5305440000016,3460.5305440000016,0.0,0.0,0.0,-902.1502463793411,-902.1502463793411,-902.1502463793411,1942.4838528055009,1942.4838528055009,1942.4838528055009,-1448.4462109667668,-1448.4462109667668,-1448.4462109667668,0.0,0.0,0.0,3071.5507834910463
2022-02-06,22.59083131844787,1519.8897650955175,4065.119412679982,22.59083131844787,22.59083131844787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.99525575471,2747.99525575471,2747.99525575471,3460.530543999999,3460.530543999999,3460.530543999999,0.0,0.0,0.0,-1077.3303510627777,-1077.3303510627777,-1077.3303510627777,1942.4838528055006,1942.4838528055006,1942.4838528055006,-1577.6887899880112,-1577.6887899880112,-1577.6887899880112,0.0,0.0,0.0,2770.5860870731576
2022-02-13,26.048818609514292,3522.033518305097,6183.954128443573,26.048818609514292,26.048818609514292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4807.034466714412,4807.034466714412,4807.034466714412,3460.530543999999,3460.530543999999,3460.530543999999,0.0,0.0,0.0,1060.5259827803334,1060.5259827803334,1060.5259827803334,1942.4838528055002,1942.4838528055002,1942.4838528055002,-1656.5059128714197,-1656.5059128714197,-1656.5059128714197,0.0,0.0,0.0,4833.083285323926
2022-02-20,29.506805891882156,2240.565408207124,4822.989205331088,29.506805891882156,29.506805891882156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3566.332498375333,3566.332498375333,3566.332498375333,3460.530543999998,3460.530543999998,3460.530543999998,0.0,0.0,0.0,-154.6061106549021,-154.6061106549021,-154.6061106549021,1942.4838528055002,1942.4838528055002,1942.4838528055002,-1682.075787775262,-1682.075787775262,-1682.075787775262,0.0,0.0,0.0,3595.8393042672155
2022-02-27,32.964793174250026,3506.6207775115968,6048.438120223164,32.964793174250026,32.964793174250026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.3700056932885,4733.3700056932885,4733.3700056932885,3460.530543999994,3460.530543999994,3460.530543999994,0.0,0.0,0.0,984.3921180648772,984.3921180648772,984.3921180648772,1942.4838528055006,1942.4838528055006,1942.4838528055006,-1654.0365091770836,-1654.0365091770836,-1654.0365091770836,0.0,0.0,0.0,4766.334798867539
2022-03-06,36.422780451199614,2601.4468601308567,5177.321757963331,36.422780451199614,36.422780451199614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831.2068903047098,3831.2068903047098,3831.2068903047098,3460.5305439999966,3460.5305439999966,3460.5305439999966,0.0,0.0,0.0,2.6833069639704625,2.6833069639704625,2.6833069639704625,1942.4838528055006,1942.4838528055006,1942.4838528055006,-1574.4908134647574,-1574.4908134647574,-1574.4908134647574,0.0,0.0,0.0,3867.6296707559095
2022-03-13,39.88076772814921,3122.272168597202,5694.815478872545,39.88076772814921,39.88076772814921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4381.850532739551,4381.850532739551,4381.850532739551,3460.53054399999,3460.53054399999,3460.53054399999,0.0,0.0,0.0,426.7138287992609,426.7138287992609,426.7138287992609,1942.4838528055,1942.4838528055,1942.4838528055,-1447.877692865197,-1447.877692865197,-1447.877692865197,0.0,0.0,0.0,4421.731300467701
